,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
163,29/8/2016,0.069,0.169558282,0.085,0.169558282
164,11/9/2016,0.134,0.246648732,0.13575,0.246648732
165,12/9/2016,0.07,0.233186446,0.1165,0.233186446
166,15/9/2016,0.179625,0.274377292,0.178875,0.274377292
167,17/9/2016,0.4815,0.691276759,0.44925,0.647567183
168,18/9/2016,0.36,0.533226356,0.3735,0.533226356
169,19/9/2016,0.22575,0.44712639,0.251,0.44712639
170,22/9/2016,0.09675,0.108213917,0.0785,0.108213917
171,23/9/2016,0.08475,0.189711183,0.096625,0.189711183
172,27/9/2016,0.053,0.152581761,0.1185,0.240032122
173,28/9/2016,0.06675,0.197572872,0.10975,0.197572872
175,19/10/2016,0.0565,0.153899127,0.0665,0.153899127
179,31/10/2016,0.09225,0.192003774,0.11925,0.192003774
180,8/11/2016,0.05375,0.235179777,0.0885,0.235179777
181,20/11/2016,0.108,0.146914017,0.13725,0.146914017
182,21/11/2016,0.03825,0.127172864,0.05075,0.127172864
183,2/12/2016,0.192,0.268269874,0.2185,0.268269874
184,6/12/2016,0.05375,0.061375798,0.05625,0.061375798
186,25/12/2016,0.136,0.161890707,0.16575,0.161890707
187,26/12/2016,0.0175,0.054430088,0.078,0.066845306
188,29/12/2016,0.04425,0.138414327,0.063,0.138414327
189,23/2/2017,0.03775,0.069792692,0.0375,0.069792692
190,9/3/2017,0.16575,0.136675799,0.18725,0.136675799
191,22/3/2017,0.01775,0.075912545,0.0215,0.075912545
192,23/3/2017,0.05725,0.103628419,0.074,0.103628419
193,24/3/2017,0.09225,0.197551962,0.105,0.197551962
195,3/4/2017,0.067,0.098916606,0.0665,0.098916606
196,4/4/2017,0.051,0.117839465,0.0815,0.117839465
197,10/4/2017,0.097,0.131275195,0.1095,0.131275195
198,15/4/2017,0.0895,0.159128098,0.10725,0.159128098
199,16/4/2017,0.11025,0.112784114,0.10225,0.112784114
201,3/5/2017,0.155875,0.211131824,0.183375,0.211131824
203,9/5/2017,0.05825,0.067270025,0.063375,0.067270025
204,12/5/2017,0.0745,0.168740527,0.08775,0.118061401
205,13/5/2017,0.082,0.122859183,0.09625,0.122859183
