,dia,hora,AOD,n,null,tipo
29,17/5/2015,19:40:00,NA,1,1,MYD
403,17/5/2015,16:35:00,0.419,1,0,MOD
377,18/5/2015,20:20:00,NA,3,3,MYD
32,18/5/2015,20:20:00,NA,3,3,MYD
406,18/5/2015,17:15:00,0.5185,4,2,MOD
379,19/5/2015,19:25:00,NA,2,2,MYD
34,19/5/2015,19:25:00,NA,2,2,MYD
383,20/5/2015,20:10:00,NA,3,3,MYD
38,20/5/2015,20:10:00,NA,3,3,MYD
412,20/5/2015,17:05:00,NA,5,5,MOD
385,21/5/2015,19:15:00,NA,3,3,MYD
40,21/5/2015,19:15:00,NA,3,3,MYD
389,22/5/2015,20:00:00,NA,4,4,MYD
44,22/5/2015,20:00:00,NA,4,4,MYD
418,22/5/2015,16:50:00,NA,2,2,MOD
422,23/5/2015,17:35:00,NA,3,3,MOD
394,24/5/2015,19:45:00,NA,3,3,MYD
49,24/5/2015,19:45:00,NA,3,3,MYD
426,25/5/2015,17:20:00,NA,3,3,MOD
400,26/5/2015,19:35:00,NA,2,2,MYD
55,26/5/2015,19:35:00,NA,2,2,MYD
403,27/5/2015,20:15:00,NA,2,2,MYD
58,27/5/2015,20:15:00,NA,2,2,MYD
432,27/5/2015,17:10:00,0.65067,4,1,MOD
404,28/5/2015,19:20:00,NA,2,2,MYD
59,28/5/2015,19:20:00,NA,2,2,MYD
434,28/5/2015,17:50:00,NA,2,2,MOD
408,29/5/2015,20:05:00,NA,4,4,MYD
63,29/5/2015,20:05:00,NA,4,4,MYD
436,29/5/2015,16:55:00,NA,3,3,MOD
441,30/5/2015,17:40:00,NA,1,1,MOD
413,31/5/2015,19:50:00,NA,3,3,MYD
68,31/5/2015,19:50:00,NA,3,3,MYD
443,31/5/2015,16:45:00,NA,1,1,MOD
447,1/6/2015,17:30:00,NA,4,4,MOD
418,2/6/2015,19:40:00,NA,2,2,MYD
73,2/6/2015,19:40:00,NA,2,2,MYD
421,3/6/2015,20:20:00,NA,1,1,MYD
422,3/6/2015,20:25:00,NA,1,1,MYD
76,3/6/2015,20:20:00,NA,1,1,MYD
77,3/6/2015,20:25:00,NA,1,1,MYD
452,3/6/2015,17:15:00,NA,4,4,MOD
423,4/6/2015,19:25:00,NA,2,2,MYD
78,4/6/2015,19:25:00,NA,2,2,MYD
456,4/6/2015,18:00:00,NA,1,1,MOD
427,5/6/2015,20:10:00,NA,2,2,MYD
82,5/6/2015,20:10:00,NA,2,2,MYD
457,5/6/2015,17:05:00,NA,3,3,MOD
461,6/6/2015,17:45:00,NA,1,1,MOD
433,7/6/2015,20:00:00,NA,4,4,MYD
