,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
171,8/1/2016,0.0245,0.02939197,0.025,0.02939197
172,13/1/2016,0.1535,0.07774692,0.13225,0.083702556
173,14/1/2016,0.0765,0.092292856,0.09575,0.092292856
174,15/1/2016,0.114,0.076594423,0.23767,0.076594423
175,16/1/2016,0.105,0.052582971,0.177875,0.053738788
176,18/1/2016,0.108625,0.080607861,0.1195,0.080607861
177,19/1/2016,0.09925,0.100557336,0.1405,0.100557336
178,18/2/2016,0.061125,0.064604725,0.094375,0.064604725
179,20/2/2016,0.17675,0.033454466,0.122,0.033454466
180,21/2/2016,0.10375,0.048561789,0.12275,0.048561789
182,24/2/2016,0.23525,0.149635432,0.23225,0.149635432
184,28/2/2016,0.1685,0.082017725,0.11825,0.070100462
185,3/3/2016,0.1435,0.09542671,0.18625,0.09542671
186,6/3/2016,0.087875,0.06943289,0.11375,0.06943289
187,8/3/2016,0.08133,0.093770757,0.09975,0.093770757
189,28/3/2016,0.08775,0.059715242,0.121625,0.059715242
190,29/3/2016,0.08825,0.15823272,0.11275,0.15823272
191,30/3/2016,0.07775,0.078087562,0.107,0.078087562
192,31/3/2016,0.067083333,0.04702903,0.085166667,0.04702903
193,14/4/2016,0.106,0.044170345,0.1275,0.044170345
194,21/4/2016,0.039625,0.05589328,0.056125,0.05589328
195,22/4/2016,0.04525,0.043876075,0.0535,0.043876075
196,3/5/2016,0.05875,0.096812451,0.115625,0.096812451
197,4/5/2016,0.165375,0.159284052,0.217625,0.159284052
198,11/5/2016,0.0485,0.11263793,0.0655,0.11263793
199,16/5/2016,0.05,0.06101862,0.044,0.06101862
200,17/5/2016,0.06125,0.04629392,0.088,0.04629392
202,3/6/2016,0.05,0.092472607,0.0705,0.092472607
203,6/6/2016,0.098625,0.102870284,0.125,0.102870284
205,8/6/2016,0.027,0.025161556,0.019,0.025161556
206,22/6/2016,0.056875,0.04923408,0.074375,0.04923408
207,23/6/2016,0.1055,0.215411383,0.19375,0.215411383
208,17/7/2016,0.01525,0.067932264,0.00375,0.067932264
209,21/7/2016,0.03,0.049869558,0.049625,0.049869558
210,22/7/2016,0.04529,0.036047661,0.07825,0.036047661
211,23/7/2016,0.14,0.243682025,0.186,0.243682025
212,23/8/2016,0.036625,0.083786285,0.047,0.083786285
213,24/8/2016,0.06175,0.087710389,0.067,0.087710389
214,25/8/2016,0.095625,0.10300517,0.107875,0.10300517
215,26/8/2016,0.1825,0.299319561,0.235,0.299319561
216,31/8/2016,0.091625,0.122903951,0.101625,0.122903951
217,2/9/2016,0.0275,0.079789173,0.0545,0.079789173
218,3/9/2016,0.05675,0.04474488,0.0645,0.04474488
219,8/9/2016,0.057375,0.078777601,0.064,0.078777601
220,10/11/2016,0.06879,0.061542648,0.05575,0.068914747
221,11/11/2016,0.042625,0.044058929,0.0405,0.044058929
222,12/11/2016,0.044875,0.076722302,0.0505,0.084700164
223,15/11/2016,0.22,0.193363008,0.21875,0.193363008
224,30/12/2016,0.09125,0.061251905,0.1065,0.061251905
225,26/1/2017,0.14575,0.064657816,0.191,0.064657816
226,27/1/2017,0.16025,0.139646504,0.15275,0.139646504
227,28/1/2017,0.1015,0.047259292,0.123125,0.047259292
228,29/1/2017,0.11475,0.104407066,0.128916667,0.104407066
229,30/1/2017,0.0805,0.082313498,0.118,0.082313498
230,3/2/2017,0.18225,0.09525834,0.193125,0.117738418
232,7/2/2017,0.080835,0.079715316,0.09825,0.079715316
233,8/2/2017,0.177,0.052049811,0.191,0.052049811
234,15/2/2017,0.08825,0.05293123,0.11475,0.05293123
235,24/2/2017,0.37567,0.339305556,0.38575,0.339305556
236,25/2/2017,0.1675,0.132712293,0.20725,0.132712293
237,26/2/2017,0.01375,0.080177472,0.128165,0.079995499
238,28/2/2017,0.1655,0.089287867,0.1685,0.089287867
240,2/3/2017,0.1145,0.090513773,0.136666667,0.098722121
241,5/3/2017,0.068,0.028950784,0.118875,0.028833499
244,12/3/2017,0.08725,0.045155681,0.1115,0.045155681
245,13/3/2017,0.066,0.043417306,0.099625,0.043417306
246,14/3/2017,0.07725,0.104659467,0.093125,0.104659467
247,16/3/2017,0.057,0.057726656,0.084,0.057726656
248,17/3/2017,0.07175,0.088607832,0.098125,0.088607832
249,18/3/2017,0.066666667,0.051961934,0.081916667,0.051961934
250,19/3/2017,0.077125,0.030606232,0.10525,0.030606232
251,20/3/2017,0.087625,0.040306425,0.11575,0.040306425
252,21/3/2017,0.172,0.066354436,0.20425,0.066354436
253,23/3/2017,0.19725,0.104106793,0.209,0.104106793
254,25/3/2017,0.10475,0.059517306,0.121,0.059517306
255,27/3/2017,0.074,0.061182996,0.08775,0.061182996
257,29/3/2017,0.07175,0.04395207,0.087,0.04395207
258,1/4/2017,0.072375,0.050980729,0.084875,0.050980729
261,6/4/2017,0.0825,0.033559042,0.14425,0.031249998
262,7/4/2017,0.04525,0.032227017,0.067375,0.028211112
263,12/4/2017,0.05175,0.118261424,0.062,0.118261424
264,13/4/2017,0.06525,0.112101805,0.10225,0.087046133
265,14/4/2017,0.054,0.045983418,0.125125,0.049120147
267,21/4/2017,0.02475,0.042981039,0.080375,0.042048229
269,24/4/2017,0.09575,0.052867625,0.10425,0.052867625
271,3/5/2017,0.11175,0.15615512,0.1285,0.15615512
272,4/5/2017,0.065,0.065232257,0.097375,0.065232257
273,9/5/2017,0.03733,0.057907882,0.10896,0.055057218
274,10/5/2017,0.041125,0.064081776,0.049125,0.064081776
275,15/5/2017,0.086,0.093879067,0.10475,0.093879067
277,17/5/2017,0.087875,0.122964536,0.09825,0.122964536
278,22/5/2017,0.03025,0.100852555,0.08275,0.100852555
279,23/5/2017,0.08725,0.127733964,0.119,0.127733964
280,30/5/2017,0.09004,0.146486287,0.10225,0.146486287
281,31/5/2017,0.05425,0.058183023,0.06325,0.058183023
282,2/6/2017,0.071875,0.132078343,0.07125,0.132078343
283,6/6/2017,0.03164,0.058757121,0.043416667,0.058757121
284,9/6/2017,0.031,0.033351431,0.04325,0.033351431
285,10/6/2017,0.038375,0.035987228,0.073125,0.035987228
286,14/6/2017,0.08625,0.046962465,0.116375,0.044526667
287,18/6/2017,0.014,0.034130027,0.0015,0.034130027
288,20/6/2017,0.039125,0.052560232,0.0415,0.052560232
290,24/6/2017,0.2565,0.232925929,0.2805,0.232925929
292,2/7/2017,0.03075,0.033283874,0.040125,0.033283874
293,3/7/2017,0.029375,0.022098959,0.048125,0.022098959
294,11/7/2017,0.066875,0.073133225,0.07325,0.073133225
295,17/7/2017,0.025875,0.052525433,0.0365,0.052525433
296,18/7/2017,0.03575,0.046279755,0.04625,0.046279755
298,20/7/2017,0.06,0.091510102,0.05825,0.091510102
300,2/8/2017,0.03975,0.116152882,0.04725,0.116152882
301,3/8/2017,0.06075,0.078627023,0.0675,0.078627023
302,6/8/2017,0.176125,0.249432378,0.2175,0.249432378
303,7/8/2017,0.15675,0.166279401,0.16875,0.166279401
304,13/8/2017,0.054,0.102790442,0.0785,0.101153
305,14/8/2017,0.023625,0.07863184,0.023,0.07863184
306,15/8/2017,0.036125,0.089541161,0.067875,0.089541161
307,16/8/2017,0.026625,0.052922204,0.0195,0.052922204
308,17/8/2017,0.057,0.136185541,0.075,0.136185541
310,20/8/2017,0.024,0.04938782,0.02975,0.04938782
311,21/8/2017,0.034333333,0.05628005,0.035833333,0.05628005
312,30/8/2017,0.02875,0.082765802,0.022125,0.082765802
313,31/8/2017,0.0155,0.077878261,0.01175,0.077878261
314,5/9/2017,0.02425,0.052811064,0.01775,0.062703923
315,11/9/2017,0.027,0.051958581,0.02225,0.051958581
316,12/9/2017,0.04425,0.099598409,0.04875,0.099598409
317,14/9/2017,0.080625,0.1773323,0.100875,0.1773323
318,16/9/2017,0.1165,0.093589582,0.1415,0.093589582
319,17/9/2017,0.10575,0.070425151,0.10125,0.070425151
320,18/9/2017,0.03575,0.038507287,0.02275,0.038507287
321,19/9/2017,0.037125,0.035114121,0.0365,0.035114121
322,22/9/2017,0.063,0.076296511,0.065375,0.076296511
323,23/9/2017,0.062625,0.179384476,0.072875,0.179384476
325,25/9/2017,0.213125,0.414717129,0.232375,0.414717129
326,6/10/2017,0.043,0.077021257,0.039125,0.077021257
327,7/10/2017,0.0505,0.088003176,0.02425,0.088003176
328,14/10/2017,0.0425,0.057854001,0.02225,0.057854001
329,15/10/2017,0.059875,0.04784025,0.057875,0.04784025
330,16/10/2017,0.021,0.0289561,0.048,0.0289561
331,19/10/2017,0.04,0.059518946,0.04125,0.059518946
332,20/10/2017,0.0365,0.094932879,0.056,0.094932879
333,21/10/2017,0.0495,0.04322114,0.04625,0.04322114
334,22/10/2017,0.075875,0.06605596,0.0765,0.06605596
335,23/10/2017,0.081,0.106612627,0.12,0.106612627
336,28/10/2017,0.082875,0.098288631,0.093875,0.098288631
338,31/10/2017,0.047375,0.056501553,0.045125,0.056501553
339,3/11/2017,0.0415,0.077326382,0.06225,0.077326382
340,4/11/2017,0.0225,0.046151299,0.04625,0.046151299
341,5/11/2017,0.026,0.032663921,0.06475,0.033639761
342,9/11/2017,0.01975,0.042333535,0.042875,0.042333535
343,10/11/2017,0.0335,0.045791384,0.068875,0.052676334
344,11/11/2017,0.044625,0.051552399,0.056375,0.051552399
345,12/11/2017,0.053875,0.073724068,0.065625,0.073724068
346,13/11/2017,0.105166667,0.1320357,0.12075,0.1320357
347,14/11/2017,0.04975,0.057547143,0.062625,0.057547143
348,15/11/2017,0.072,0.196661663,0.032,0.196661663
349,16/11/2017,0.03625,0.063403941,0.0605,0.063403941
350,17/11/2017,0.025,0.064390962,0.0925,0.064390962
351,19/11/2017,0.01675,0.080073606,0.0325,0.080073606
352,21/11/2017,0.07775,0.077427296,0.052125,0.077427296
353,22/11/2017,0.108,0.094977284,0.0815,0.094977284
354,23/11/2017,0.1005,0.106082882,0.1295,0.106082882
356,25/11/2017,0.068473333,0.050933476,0.07325,0.050933476
357,26/11/2017,0.05325,0.053181209,0.06775,0.053181209
358,27/11/2017,0.119125,0.127123118,0.13,0.127123118
359,28/11/2017,0.109,0.073434173,0.12725,0.073434173
360,30/11/2017,0.12175,0.085725571,0.132125,0.085725571
361,1/12/2017,0.05525,0.083789943,0.02075,0.083789943
362,5/12/2017,0.148,0.071921016,0.16625,0.071921016
363,7/12/2017,0.11925,0.117357661,0.09225,0.117357661
364,9/12/2017,0.06975,0.091661112,0.0925,0.091661112
365,10/12/2017,0.07225,0.104812495,0.061625,0.091389711
366,11/12/2017,0.041625,0.046800011,0.07475,0.048140248
367,14/12/2017,0.087125,0.078713955,0.093375,0.078713955
368,15/12/2017,0.095723333,0.086064731,0.096916667,0.086064731
369,17/12/2017,0.108,0.071616632,0.11325,0.071616632
370,18/12/2017,0.1365,0.076439438,0.16775,0.076439438
371,20/12/2017,0.106125,0.087327841,0.1125,0.087327841
372,22/12/2017,0.152,0.079473469,0.14825,0.079473469
373,24/12/2017,0.077,0.048319993,0.060375,0.040657314
374,25/12/2017,0.119165,0.044495492,0.106625,0.044495492
376,28/12/2017,0.106625,0.072352557,0.1435,0.072352557
377,29/12/2017,0.188875,0.162396005,0.229625,0.162396005
378,30/12/2017,0.08025,0.076685872,0.136625,0.157581502
379,3/1/2018,0.06625,0.06535244,0.091,0.06535244
380,4/1/2018,0.15979,0.253422033,0.245875,0.253422033
381,6/1/2018,0.1315,0.073136523,0.15725,0.073136523
382,7/1/2018,0.1115,0.064656693,0.142125,0.064656693
383,8/1/2018,0.1305,0.042890111,0.096375,0.042890111
384,9/1/2018,0.068585,0.032045402,0.091125,0.032045402
385,10/1/2018,0.12725,0.113943943,0.134375,0.113943943
386,11/1/2018,0.12025,0.113259396,0.1535,0.113259396
387,15/1/2018,0.190875,0.117980883,0.222125,0.117980883
388,16/1/2018,0.17275,0.101884249,0.216835,0.103472736
390,19/1/2018,0.098,0.09310788,0.1025,0.09310788
391,20/1/2018,0.0895,0.038803242,0.16825,0.038803242
392,21/1/2018,0.1485,0.121492375,0.294,0.10883459
393,22/1/2018,0.045,0.150733045,0.0995,0.150733045
394,24/1/2018,0.11725,0.071928254,0.129625,0.078237399
395,25/1/2018,0.11825,0.10594086,0.129,0.10594086
397,28/1/2018,0.084,0.080392434,0.121375,0.080392434
398,29/1/2018,0.074,0.022264145,0.094875,0.022264145
399,30/1/2018,0.1025,0.065444331,0.130875,0.065444331
400,1/2/2018,0.219166667,0.280408817,0.2275,0.280408817
401,7/2/2018,0.03975,0.058308548,0.10225,0.058308548
