,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
404,8/12/2017,0.10975,0.143965946,0.126875,0.143965946
405,9/12/2017,0.040375,0.091976579,0.044,0.091976579
406,10/12/2017,0.05875,0.079951254,0.0455,0.079951254
407,11/12/2017,0.211875,0.244033255,0.22704,0.244033255
408,13/12/2017,0.036625,0.134346455,0.033625,0.134346455
410,15/12/2017,0.0485,0.083224598,0.039,0.083224598
411,17/12/2017,0.091,0.066784981,0.09025,0.066784981
412,19/12/2017,0.056916667,0.113324332,0.0695,0.113324332
413,20/12/2017,0.13625,0.098596876,0.14475,0.098596876
414,21/12/2017,0.08575,0.106755126,0.101,0.106755126
415,22/12/2017,0.07,0.093377119,0.070625,0.093377119
416,23/12/2017,0.04275,0.088812829,0.055,0.088812829
417,24/12/2017,0.097375,0.081898528,0.114,0.096898333
418,25/12/2017,0.07425,0.093237303,0.08025,0.093237303
419,26/12/2017,0.099,0.081383081,0.09425,0.081383081
420,27/12/2017,0.07625,0.090935662,0.10475,0.090935662
421,28/12/2017,0.07025,0.079654844,0.078375,0.079654844
422,29/12/2017,0.065375,0.084620135,0.077375,0.084620135
423,30/12/2017,0.084125,0.083849911,0.100875,0.083849911
424,24/5/2018,0.073,0.143416607,0.056,0.143416607
425,25/5/2018,0.05275,0.133178604,0.058,0.133178604
426,1/6/2018,0.107833333,0.188493102,0.114583333,0.188493102
427,2/6/2018,0.090875,0.143251065,0.10375,0.143251065
428,3/6/2018,0.139875,0.218185832,0.168125,0.218185832
429,6/6/2018,0.060625,0.106167408,0.0695,0.106167408
430,7/6/2018,0.051125,0.078618415,0.05925,0.078618415
431,13/6/2018,0.064625,0.10729249,0.08675,0.10729249
432,18/6/2018,0.053,0.07063603,0.06275,0.07063603
433,19/6/2018,0.15025,0.160637268,0.15625,0.160637268
434,20/6/2018,0.1115,0.23995719,0.125,0.23995719
435,27/6/2018,0.0625,0.154013325,0.088625,0.17576125
436,29/6/2018,0.125125,0.257537607,0.153,0.257537607
437,7/7/2018,0.0835,0.091272368,0.131125,0.113735433
438,8/7/2018,0.078375,0.10813336,0.089,0.10813336
439,9/7/2018,0.07275,0.093429447,0.08575,0.093429447
440,11/7/2018,0.151,0.302204843,0.166,0.302204843
441,12/7/2018,0.11775,0.239782062,0.10075,0.239782062
442,13/7/2018,0.07275,0.101248595,0.086,0.101248595
443,14/7/2018,0.1495,0.140888952,0.1635,0.140888952
444,19/7/2018,0.110125,0.20632762,0.120125,0.20632762
445,20/7/2018,0.04625,0.095212921,0.055125,0.095212921
446,22/7/2018,0.091875,0.117614859,0.09925,0.117614859
447,23/7/2018,0.039875,0.089770818,0.0455,0.089770818
448,24/7/2018,0.084125,0.14899527,0.088625,0.14899527
449,25/7/2018,0.04725,0.110355144,0.06625,0.110355144
450,28/7/2018,0.060125,0.105519714,0.057125,0.105519714
452,30/7/2018,0.08225,0.144832445,0.09425,0.144832445
453,31/7/2018,0.087166667,0.194218797,0.105723333,0.194218797
454,3/8/2018,0.091875,0.284241437,0.11825,0.284241437
455,8/8/2018,0.04125,0.080961137,0.05075,0.080961137
456,9/8/2018,0.013,0.056604055,0.00425,0.056604055
457,13/8/2018,0.0425,0.132440122,0.04925,0.132440122
458,14/8/2018,0.02125,0.075628903,0.025,0.075628903
459,15/8/2018,0.03125,0.083999925,0.033625,0.083999925
460,16/8/2018,0.084583333,0.182219076,0.092333333,0.182219076
461,19/8/2018,0.059375,0.11716241,0.093,0.11716241
462,20/8/2018,0.040375,0.109903501,0.03475,0.109903501
463,21/8/2018,0.0185,0.112577247,0.0655,0.112464096
464,24/8/2018,0.04325,0.108887164,0.059,0.107156117
465,25/8/2018,0.053625,0.124393587,0.057,0.124393587
466,26/8/2018,0.04225,0.083346732,0.07375,0.083346732
467,27/8/2018,0.1365,0.143927248,0.13975,0.143927248
468,28/8/2018,0.12475,0.116966227,0.1675,0.116966227
469,29/8/2018,0.10767,0.275897917,0.126,0.275897917
471,2/9/2018,0.06825,0.103326586,0.112625,0.103326586
472,3/9/2018,0.040125,0.117091076,0.03625,0.117091076
473,4/9/2018,0.040625,0.097172025,0.039875,0.097172025
474,5/9/2018,0.245625,0.424074756,0.257125,0.424074756
475,6/9/2018,0.15575,0.281382267,0.166,0.281382267
476,7/9/2018,0.10725,0.234081342,0.1205,0.234081342
477,8/9/2018,0.064,0.159963866,0.073,0.159963866
478,9/9/2018,0.06925,0.167488944,0.07925,0.167488944
479,10/9/2018,0.045125,0.156917802,0.05475,0.156917802
