,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean,Modif
240,9/5/2020,0.129,0.08428,0.049828807,0
241,11/5/2020,0.103,0.05488,0.030789787,0
242,12/5/2020,0.082,0.065155,0.064311622,0
243,16/5/2020,0.197,0.114725,0.044710469,0
244,18/5/2020,0.108,0.13344,0.061887292,0
245,20/5/2020,0.133,0.092045,0.06727601,0
246,23/5/2020,0.232,0.153605,0.081712451,0
247,25/5/2020,0.12,0.066485,0.067590392,0
248,26/5/2020,0.0555,0.04662,0.069218656,0
249,27/5/2020,0.106,0.050935,0.064373661,0
250,28/5/2020,0.07325,0.053525,0.083437321,0
251,30/5/2020,0.1395,0.115805,0.102388627,0
252,31/5/2020,0.146,0.088715,0.069434221,0
253,1/6/2020,0.208,0.158045,0.122778253,0
254,9/6/2020,0.093,0.071,0.034103521,0
255,11/6/2020,0.154,0.06792,0.08155688,0
256,12/6/2020,0.262,0.20773,0.124076025,0
257,13/6/2020,0.083,0.094605,0.061729901,0
258,17/6/2020,0.142,0.077945,0.076903827,0
259,20/6/2020,0.084,0.060445,0.078961101,0
260,24/6/2020,0.221,0.18048,0.203867131,0
261,26/6/2020,0.196,0.12824,0.150598786,0
262,1/7/2020,0.096,0.078945,0.096734113,0
263,3/7/2020,0.079,0.079185,0.091669456,0
264,13/7/2020,0.1395,0.09399,0.11257678,0
265,19/7/2020,0.125,0.133435,0.069092541,0
266,20/7/2020,0.239,0.077725,0.082240059,0
267,22/7/2020,0.188,0.08525,0.12439215,0
268,24/7/2020,-0.05,0.11991,0.071518976,0
269,29/7/2020,0.183,0.129105,0.121669285,0
270,4/8/2020,0.147,0.107575,0.12266801,0
271,5/8/2020,0.221,0.110075,0.107392027,0
272,7/8/2020,0.244,0.158375,0.232919887,0
273,29/8/2020,0.329,0.36633,0.163663342,0
274,3/9/2020,0.216,0.189605,0.177093506,0
275,5/9/2020,0.19,0.190515,0.140692814,0
276,12/9/2020,0.393,0.36433,0.41690214,0
277,19/10/2020,0.145,0.12087,0.074529116,0
278,26/10/2020,0.055,0.06617,0.06065166,0
279,15/11/2020,0.172,0.15193,0.093921726,0
280,22/11/2020,0.2,0.221515,0.124264532,0
281,27/1/2021,0.129,0.18262,0.075416699,0
282,16/3/2021,0.362,0.3665,0.126896324,0
283,1/4/2021,0.574,0.48117,0.272123486,0
284,15/4/2021,0.248,0.2072,0.0928628,0
285,16/4/2021,0.223,0.154915,0.109391939,0
286,19/4/2021,0.092,0.12292,0.059262815,0
287,22/4/2021,0.182,0.23038,0.123362091,0
288,26/4/2021,0.134,0.118555,0.071465034,0
289,1/5/2021,0.2635,0.221535,0.105602027,0
290,2/5/2021,0.117,0.058915,0.062839802,0
291,3/5/2021,0.146,0.103555,0.064749795,0
292,4/5/2021,0.06,0.04737,0.067461581,0
293,5/5/2021,0.249,0.1117,0.061932999,0
294,10/5/2021,0.1125,0.114435,0.06040074,0
295,11/5/2021,0.7345,0.32375,0.112213434,0
296,12/5/2021,0.158,0.19203,0.062829273,0
297,14/5/2021,0.135,0.10983,0.051087464,0
298,16/5/2021,0.141,0.117435,0.062510147,0
299,19/5/2021,0.127,0.11127,0.095666195,0
300,20/5/2021,0.328,0.12661,0.073854213,0
301,22/5/2021,0.21,0.06988,0.050480603,0
302,3/6/2021,0.206,0.08115,0.091104734,0
303,4/6/2021,0.378,0.39707,0.111912564,0
304,9/6/2021,0.106,0.108095,0.091851653,0
305,12/6/2021,0.195,0.06247,0.094657413,0
306,13/6/2021,0,0.05337,0.064285768,0
307,14/6/2021,0.107,0.058605,0.082137347,0
308,20/6/2021,0.11,0.085565,0.061463317,0
309,29/6/2021,0.134,0.09373,0.054586321,0
310,30/6/2021,0.029,0.05712,0.075176557,0
311,4/7/2021,0.068,0.06322,0.055423399,0
312,8/7/2021,0.083,0.09472,0.135811305,0
313,9/7/2021,0.097,0.068765,0.087680595,0
314,11/7/2021,0.122,0.121025,0.079336801,0
315,13/7/2021,0.131,0.10163,0.058215483,0
316,15/7/2021,0.116,0.1013,0.10255968,0
317,20/7/2021,0.23,0.19957,0.115285911,0
318,22/7/2021,0.123,0.10721,0.06904794,0
319,24/7/2021,0.093,0.09543,0.059592621,0
320,8/8/2021,0.118,0.05238,0.061206155,0
321,14/8/2021,0.143,0.120695,0.081782473,0
322,16/8/2021,0.103,0.098485,0.088942434,0
323,18/8/2021,0.11,0.09039,0.099721394,0
324,1/9/2021,0.237,0.198635,0.108399029,0
325,4/9/2021,0.11,0.139105,0.089509482,0
326,6/9/2021,0.214,0.19356,0.102106485,0
327,24/9/2021,0.169,0.18136,0.161317956,0
328,24/10/2021,0.101,0.147525,0.062286622,0
329,11/4/2022,0.3795,0.21085,0.217631419,0
330,18/4/2022,0.157,0.0526,0.062952901,0
331,19/4/2022,0.329,0.032025,0.113639237,0
332,21/4/2022,0.251,0.071135,0.116023223,0
333,22/4/2022,0.269,0.08115,0.132832549,0
334,26/4/2022,0.196,0.075475,0.088658828,0
335,27/4/2022,0.201,0.071425,0.067099121,0
336,28/4/2022,0.211,0.05959,0.092029245,0
337,29/4/2022,0.29,0.19251,0.112644346,0
338,30/4/2022,0.2285,0.12112,0.066571338,0
339,2/5/2022,0.148,0.09754,0.098461234,0
340,6/5/2022,0.1865,0.08433,0.073234927,0
341,7/5/2022,0.327,0.113605,0.150599647,0
342,8/5/2022,0.315,0.20627,0.152963119,0
343,9/5/2022,0.104,0.088465,0.085754713,0
344,11/5/2022,0.16133,0.109635,0.086528661,0
345,13/5/2022,0.172,0.09251,0.13179448,0
346,15/5/2022,0.102,0.05286,0.073055754,0
347,18/5/2022,0.165,0.06858,0.102237202,0
348,20/5/2022,0.117,0.05003,0.099949545,0
349,21/5/2022,0.172,0.08389,0.114023724,0
350,24/5/2022,0.127,0.034095,0.102229927,0
351,27/5/2022,0.174,0.08265,0.125643732,0
352,29/5/2022,0.1845,0.07689,0.067579987,0
353,30/5/2022,0.172,0.10922,0.085420163,0
354,6/6/2022,0.241,0.13384,0.086919359,0
355,7/6/2022,0.165,0.11435,0.121836843,0
356,13/6/2022,0.12,0.038955,0.052075635,0
357,15/6/2022,0.11,0.06817,0.130817617,0
358,16/6/2022,0.137,0.03875,0.111844583,0
359,18/6/2022,0.148,0.10695,0.123726175,0
360,22/6/2022,0.145,0.09659,0.08146045,0
