,date,AOD_550_maiac_mean,AOD_550_AER_mean,caract_AER
477,16/7/2018,0.11925,0.064072774,baja
881,11/3/2021,0.2165,0.064183018,baja
505,3/9/2018,0.051,0.064302384,baja
959,2/8/2021,0.1055,0.06434782,baja
536,4/12/2018,0.089625,0.064467345,baja
139,26/4/2016,0.12375,0.064471862,baja
578,2/6/2019,0.10925,0.064481245,baja
321,12/7/2017,0.06675,0.064557119,baja
792,26/7/2020,0.11225,0.064667029,baja
944,10/7/2021,0.07375,0.064680509,baja
1046,27/4/2022,0.0875,0.06475244,baja
1078,9/6/2022,0.054,0.064774823,baja
463,25/6/2018,0.0945,0.064789822,baja
475,10/7/2018,0.15025,0.064812829,baja
525,30/9/2018,0.094,0.064885126,baja
583,7/6/2019,0.059,0.065011737,baja
548,23/3/2019,0.14433,0.065030305,baja
728,12/5/2020,0.080125,0.065230312,baja
541,11/12/2018,0.16175,0.065360478,baja
715,15/4/2020,0.141,0.065417245,baja
901,10/5/2021,0.1245,0.065678464,baja
605,4/7/2019,0.059375,0.065707858,baja
54,30/6/2015,0.05225,0.065734905,baja
870,13/12/2020,0.17625,0.065834972,baja
461,23/6/2018,0.079375,0.065842258,baja
950,17/7/2021,0.054875,0.065912191,baja
194,12/7/2016,0.0615,0.065914906,baja
313,4/7/2017,0.05025,0.066002387,baja
13,10/5/2015,0.147875,0.066020356,baja
733,19/5/2020,0.10325,0.06608136,baja
523,27/9/2018,0.16425,0.066106485,baja
768,29/6/2020,0.054375,0.066112177,baja
990,5/9/2021,0.279,0.066233389,baja
1121,28/7/2022,0.045875,0.066275262,baja
649,26/8/2019,0.139,0.066330904,baja
1007,17/10/2021,0.12175,0.066553447,baja
757,18/6/2020,0.163,0.066561937,baja
688,18/11/2019,0.119,0.06656581,baja
458,19/6/2018,0.13475,0.066579993,baja
934,29/6/2021,0.09825,0.066652982,baja
291,2/6/2017,0.08175,0.06669131,baja
562,7/5/2019,0.222,0.066696764,baja
7,27/4/2015,0.1605,0.066811687,baja
349,19/8/2017,0.062625,0.067112774,baja
975,20/8/2021,0.093625,0.067272457,baja
911,25/5/2021,0.07825,0.067274896,baja
744,31/5/2020,0.102375,0.067286546,baja
698,26/1/2020,0.08325,0.067288831,baja
391,18/11/2017,0.2155,0.067447251,baja
897,4/5/2021,0.05275,0.067461581,baja
217,16/8/2016,0.098875,0.067482007,baja
28,29/5/2015,0.078625,0.067496984,baja
275,26/4/2017,0.1555,0.067522081,baja
1114,21/7/2022,0.0525,0.06757486,baja
935,30/6/2021,0.058125,0.067666826,baja
2,18/2/2015,0.086,0.067698328,baja
482,25/7/2018,0.1845,0.067729476,baja
449,29/5/2018,0.102,0.067788981,baja
150,10/5/2016,0.0735,0.068027693,baja
231,6/9/2016,0.07925,0.068069107,baja
793,27/7/2020,0.06525,0.068138405,baja
353,23/8/2017,0.054125,0.068170984,baja
1182,12/10/2022,0.07475,0.068381223,baja
255,14/11/2016,0.05425,0.068449686,baja
696,9/1/2020,0.2155,0.068466053,baja
45,17/6/2015,0.0655,0.06846744,baja
549,24/3/2019,0.18325,0.068486864,baja
946,12/7/2021,0.092625,0.068557288,baja
783,15/7/2020,0.097625,0.068572757,baja
401,19/2/2018,0.091875,0.068610744,baja
546,2/3/2019,0.20625,0.068627778,baja
144,1/5/2016,0.08825,0.068661338,baja
739,26/5/2020,0.048,0.068685915,baja
754,15/6/2020,0.13925,0.068698913,baja
1141,21/8/2022,0.114375,0.068799431,baja
610,9/7/2019,0.14,0.068838329,baja
810,14/8/2020,0.061625,0.06884419,baja
259,2/12/2016,0.3115,0.068875303,baja
555,10/4/2019,0.1835,0.068909087,baja
108,23/11/2015,0.14125,0.068909291,baja
1209,24/12/2022,0.108,0.068956161,baja
172,5/6/2016,0.123375,0.068985838,baja
1085,17/6/2022,0.04075,0.069017657,baja
599,28/6/2019,0.1065,0.069234095,baja
558,22/4/2019,0.10933,0.069239859,baja
1183,13/10/2022,0.16375,0.069321394,baja
219,20/8/2016,0.1365,0.069368279,baja
590,18/6/2019,0.052125,0.069413259,baja
714,14/4/2020,0.21525,0.069498397,baja
786,18/7/2020,0.10475,0.069571413,baja
842,24/10/2020,0.135415,0.069575357,baja
293,6/6/2017,0.129,0.069651787,baja
331,27/7/2017,0.12275,0.069655008,baja
392,20/11/2017,0.110875,0.069657562,baja
208,30/7/2016,0.07425,0.069792601,baja
677,20/10/2019,0.20875,0.069845506,baja
384,26/10/2017,0.201625,0.069851769,baja
324,19/7/2017,0.071,0.069864166,baja
350,20/8/2017,0.121,0.069948664,baja
107,20/11/2015,0.30533,0.070014702,baja
38,10/6/2015,0.074625,0.07005238,baja
190,2/7/2016,0.062,0.07009953,baja
180,21/6/2016,0.066,0.07010379,baja
892,29/4/2021,0.203,0.07016803,baja
518,20/9/2018,0.152,0.070451284,baja
33,4/6/2015,0.197,0.070460665,baja
79,3/8/2015,0.0715,0.070464385,baja
697,25/1/2020,0.16475,0.070487592,baja
734,20/5/2020,0.11725,0.07054055,baja
101,12/10/2015,0.23925,0.070555897,baja
889,25/4/2021,0.23475,0.070626184,baja
547,4/3/2019,0.2745,0.070664811,baja
1087,19/6/2022,0.055375,0.070722773,baja
871,19/12/2020,0.2405,0.070881333,baja
760,21/6/2020,0.0935,0.070902729,baja
632,7/8/2019,0.09,0.070999945,baja
642,18/8/2019,0.148,0.071087678,baja
341,6/8/2017,0.08,0.071106137,baja
326,22/7/2017,0.075125,0.071109147,baja
202,20/7/2016,0.24675,0.071115439,baja
1073,29/5/2022,0.090625,0.071120322,baja
746,2/6/2020,0.094875,0.071192367,baja
22,22/5/2015,0.084375,0.071218336,baja
572,26/5/2019,0.0925,0.071230439,baja
24,24/5/2015,0.08975,0.071317452,baja
622,28/7/2019,0.1495,0.071367398,baja
351,21/8/2017,0.10825,0.071421157,baja
1140,20/8/2022,0.05425,0.071477112,baja
791,24/7/2020,0.1195,0.071516691,baja
626,1/8/2019,0.094125,0.071522837,baja
787,19/7/2020,0.12825,0.071608838,baja
567,18/5/2019,0.057625,0.071999719,baja
11,4/5/2015,0.111,0.072023954,baja
39,11/6/2015,0.101125,0.072052253,baja
420,20/4/2018,0.1285,0.072147331,baja
455,12/6/2018,0.1695,0.072150193,baja
1036,16/4/2022,0.01775,0.072197471,baja
759,20/6/2020,0.057625,0.072245221,baja
943,9/7/2021,0.0745,0.072252227,baja
179,20/6/2016,0.0935,0.072400777,baja
327,23/7/2017,0.0525,0.072421138,baja
556,14/4/2019,0.2955,0.072528422,baja
12,6/5/2015,0.09925,0.072531244,baja
847,3/11/2020,0.0625,0.072537685,baja
262,18/12/2016,0.19929,0.072586267,baja
762,23/6/2020,0.097,0.072588988,baja
900,9/5/2021,0.1095,0.072611012,baja
333,29/7/2017,0.0885,0.072640965,baja
71,26/7/2015,0.113875,0.072693161,baja
473,8/7/2018,0.073625,0.072758412,baja
1009,21/10/2021,0.128625,0.072845698,baja
1063,15/5/2022,0.09325,0.073055754,baja
485,28/7/2018,0.076,0.073113648,baja
568,19/5/2019,0.069,0.073188135,baja
1055,6/5/2022,0.10075,0.073234927,baja
1144,24/8/2022,0.057625,0.07333218,baja
479,19/7/2018,0.1115,0.073338613,baja
315,6/7/2017,0.055875,0.073356884,baja
872,27/1/2021,0.1865,0.073431339,baja
1193,5/11/2022,0.134375,0.073562466,baja
149,9/5/2016,0.10375,0.073714788,baja
309,26/6/2017,0.109,0.073724472,baja
339,4/8/2017,0.15875,0.073854971,baja
611,10/7/2019,0.08775,0.073993461,baja
758,19/6/2020,0.09125,0.074141983,baja
466,29/6/2018,0.078875,0.074193295,baja
1199,13/11/2022,0.06925,0.074291158,baja
920,8/6/2021,0.10425,0.074334594,baja
156,19/5/2016,0.1205,0.074361199,baja
279,5/5/2017,0.082875,0.074379786,baja
286,19/5/2017,0.101,0.074387481,baja
352,22/8/2017,0.04775,0.074395036,baja
868,11/12/2020,0.09875,0.07439536,baja
841,19/10/2020,0.13975,0.074529116,baja
387,30/10/2017,0.217875,0.074585682,baja
638,14/8/2019,0.144,0.074630118,baja
48,21/6/2015,0.10075,0.074694723,baja
613,12/7/2019,0.108,0.074807285,baja
288,21/5/2017,0.168,0.074844646,baja
954,22/7/2021,0.111,0.074847995,baja
587,11/6/2019,0.10575,0.074916704,baja
468,1/7/2018,0.085125,0.075127314,baja
753,13/6/2020,0.105,0.075227581,baja
585,9/6/2019,0.0975,0.075262025,baja
517,19/9/2018,0.08925,0.075295848,baja
681,25/10/2019,0.2145,0.075337431,baja
1137,17/8/2022,0.061375,0.075354025,baja
199,17/7/2016,0.1215,0.075356824,baja
18,18/5/2015,0.042,0.07548037,baja
154,17/5/2016,0.081125,0.075481809,baja
379,5/10/2017,0.079875,0.075600512,baja
571,25/5/2019,0.067375,0.075693121,baja
717,24/4/2020,0.09625,0.075709631,baja
47,20/6/2015,0.121375,0.075735098,baja
1174,1/10/2022,0.2245,0.0758299,baja
993,11/9/2021,0.12675,0.075856262,baja
253,4/11/2016,0.164,0.07587257,baja
1028,6/3/2022,0.132,0.075919871,baja
436,16/5/2018,0.06475,0.075961256,baja
515,17/9/2018,0.096375,0.076124751,baja
685,2/11/2019,0.12,0.076381152,baja
816,23/8/2020,0.08825,0.076470505,baja
385,27/10/2017,0.141,0.07648708,baja
910,22/5/2021,0.080125,0.076516809,baja
74,29/7/2015,0.094125,0.076546987,baja
1012,24/10/2021,0.157625,0.076713368,baja
76,31/7/2015,0.1075,0.076814885,baja
907,18/5/2021,0.16175,0.076829492,baja
158,21/5/2016,0.09275,0.076855257,baja
1106,11/7/2022,0.11375,0.076865126,baja
1127,3/8/2022,0.116375,0.07694602,baja
971,16/8/2021,0.098625,0.076946706,baja
1181,11/10/2022,0.13025,0.077026949,baja
120,23/1/2016,0.2225,0.077048645,baja
586,10/6/2019,0.11125,0.077140898,baja
506,4/9/2018,0.09975,0.077186907,baja
520,22/9/2018,0.151,0.077327404,baja
689,22/11/2019,0.274,0.077440825,baja
735,21/5/2020,0.114375,0.077466113,baja
1120,27/7/2022,0.074875,0.077518787,baja
450,30/5/2018,0.0735,0.077629454,baja
532,9/11/2018,0.256,0.077739218,baja
563,10/5/2019,0.087875,0.07774077,baja
896,3/5/2021,0.12275,0.07776894,baja
747,7/6/2020,0.13825,0.077922944,baja
423,27/4/2018,0.23375,0.077944772,baja
1020,13/12/2021,0.13525,0.077959973,baja
542,12/12/2018,0.15175,0.077961791,baja
924,14/6/2021,0.06625,0.078024856,baja
437,17/5/2018,0.094,0.078269149,baja
121,24/1/2016,0.10925,0.078403404,baja
569,20/5/2019,0.1,0.078632241,baja
203,21/7/2016,0.11575,0.078749424,baja
1038,18/4/2022,0.04925,0.078935538,baja
557,21/4/2019,0.2365,0.079045973,baja
441,21/5/2018,0.091125,0.079050309,baja
1173,30/9/2022,0.17725,0.079068246,baja
257,16/11/2016,0.17967,0.079105333,baja
447,27/5/2018,0.137375,0.079187044,baja
354,24/8/2017,0.1045,0.079192409,baja
796,30/7/2020,0.123125,0.07935209,baja
577,31/5/2019,0.050375,0.079563622,baja
756,17/6/2020,0.06925,0.079678451,baja
607,6/7/2019,0.095125,0.079695313,baja
1094,27/6/2022,0.075125,0.079754835,baja
1040,20/4/2022,0.0935,0.079830427,baja
1088,20/6/2022,0.120625,0.079902721,baja
365,10/9/2017,0.124125,0.08014975,baja
606,5/7/2019,0.14225,0.080158937,baja
869,12/12/2020,0.21633,0.080176776,baja
426,2/5/2018,0.142085,0.080205872,baja
40,12/6/2015,0.1,0.080224216,baja
1072,28/5/2022,0.095125,0.080351125,baja
1080,12/6/2022,0.037,0.080362326,baja
1133,13/8/2022,0.06225,0.080366148,baja
683,27/10/2019,0.214085,0.080534515,baja
964,9/8/2021,0.11925,0.080600609,baja
785,17/7/2020,0.114125,0.080614751,baja
507,5/9/2018,0.09925,0.080697078,baja
386,29/10/2017,0.1575,0.080716858,baja
467,30/6/2018,0.1105,0.08074538,baja
1037,17/4/2022,0.086625,0.080760421,baja
945,11/7/2021,0.137125,0.080844029,baja
56,6/7/2015,0.0915,0.080845711,baja
917,3/6/2021,0.08925,0.080866417,baja
493,10/8/2018,0.1255,0.080894255,baja
197,15/7/2016,0.094125,0.080935803,baja
1095,28/6/2022,0.07125,0.080937868,baja
718,25/4/2020,0.1965,0.0809419,baja
820,30/8/2020,0.14533,0.080980456,baja
653,30/8/2019,0.125625,0.081004788,baja
989,4/9/2021,0.16125,0.081073455,baja
389,2/11/2017,0.26167,0.081095536,baja
764,25/6/2020,0.1655,0.081130266,baja
